cuvant,fisier,total_aparitii,contexte
Adjud,HAIRO_RosettiR_CuPalosul.txt,1,"acolo mai putea pleca prin Adjud , deadrept la mare ."
Adjud,HAIRO_PopescuND_BoieriiHaiduci.txt,1,"Catargiu avea lăsa acasă la Adjud chiar pe arnăut meu ,"
Adjud,HAIRO_Anonim_GruiaMereanu.txt,3,"duce la părinte biserică din Adjud și el rugă să sine ||| inimei , intra în oraș Adjud . fi căpitan de haiduc ||| trece barieră și intra în Adjud pentru a sine stabili acolo"
Adjud,HAIRO_PopescuND_BujorHaiducul.txt,1,"glonț la eu în codru adjud , cu poterașiu cât colea"
Aiud,HAIRO_PopescuND_RaduAnghel.txt,6,"spre a sine duce la Aiud localitate ce - și alege ||| plecare său negustor meu alege aiud ca loc de retragere pentru ||| acesta Ilie fi preacunoaște în Aiud și mai toți amic și ||| el avea relațiune comercial cu aiud , ast-fel că la cel ||| seamă sine avea duce la Aiud . pe lângă acesta oboseală ||| părere , să renunta la Aiud și să sine hotărî ca"
Alexandria,HAIRO_PopescuND_TunsuCapitan.txt,2,"ce de la București la Alexandria , în drept loc ulat ||| drum spre Craiova și spre Alexandria , dar la care nu"
Alexandria,HAIRO_RadulescuN_BanditulRiureanu.txt,8,"care sine întinde până în Alexandria , dar care , din ||| frumos teren așeza în ttra Alexandria și comună piele . locuitor ||| vrea la Giurgiu vrea la Alexandria . — ba eu teme ||| drum care duce de la Alexandria la Giurgiu . director scoalei ||| mează zi și până la Alexandria spre mează -noapte , sine ||| lua di ligenț de la Alexandria și care nu fi altul ||| adresa scrisoare ? — la Alexandria ! — Așa aproape ! ||| vrea un cârciu -mar în Alexandria care să sine chema Stefănescu"
Amaradia,HAIRO_PopescuND_TunsuCapitan.txt,1,"eu la tact lui la Amaradia ; pe urmă , după"
Atena,HAIRO_PopescuP_GrozaCataonilor(Fulger).txt,1,"măslină ce el vinde la Atena , că avea să ajuta"
Babadag,HAIRO_IghelI_MoarteaSimionLicinsky.txt,2,"stradă Issaccea , Ca-rol și Babadag până la infirmerie militar unde ||| porni de aci pe stradă Babadag avea îvenda în frunte pe"
